applicant_id,age,employment_type,income_monthly,existing_emi,cibil_score,credit_utilization_pct,recent_dpd_30,inquiries_6m,active_trades,vintage_months,employment_stability_m,secured_mix_ratio,foir_now,pd_12m,default_12m
APL300041,32,Gig/Freelance,45178.02,0.0,759,55.3,0,1,8,119,15,0.33,0.0,0.4379,1
APL300042,40,Salaried,33919.21,499.85,795,75.4,0,0,13,103,38,0.528,1.5,0.4011,0
APL300043,35,Salaried,53576.19,13845.21,753,102.0,0,1,2,44,16,0.264,25.8,0.65,0
APL300044,27,Salaried,16424.75,6129.05,728,86.6,0,1,7,63,0,0.194,37.3,0.65,1
APL300045,34,Salaried,57250.44,10845.08,612,67.8,0,1,4,57,15,0.195,18.9,0.65,0
APL300046,43,Gig/Freelance,12000.0,0.0,719,76.9,0,1,8,121,29,0.157,0.0,0.603,0
APL300047,34,Student/Intern,21434.34,0.0,684,64.5,0,1,4,75,24,0.295,0.0,0.6405,0
APL300048,26,Self-Employed,60978.53,14676.07,749,94.0,0,0,2,45,3,0.285,24.1,0.6477,0
APL300049,45,Student/Intern,47732.01,1772.2,703,82.9,0,3,5,26,3,0.255,3.7,0.65,1
APL300050,43,Salaried,27660.37,0.0,697,75.2,0,1,10,94,35,0.592,0.0,0.5944,1
APL300051,34,Salaried,55322.65,8500.12,804,90.4,0,1,7,66,7,0.565,15.4,0.4912,0
APL300052,27,Salaried,30217.04,7740.17,820,42.0,0,3,8,103,5,0.695,25.6,0.3804,1
APL300053,40,Salaried,12028.64,9223.62,798,52.0,0,1,6,81,19,0.66,76.7,0.4401,0
APL300054,40,Salaried,22203.86,3139.11,665,79.7,0,1,6,80,28,0.267,14.1,0.65,0
APL300055,39,Salaried,35702.63,1011.27,725,105.6,0,0,2,77,13,0.265,2.8,0.65,1
APL300056,36,Salaried,34396.34,6693.93,572,109.4,0,2,2,42,24,0.0,19.5,0.65,1
APL300057,31,Salaried,20213.68,4880.34,605,72.1,0,2,8,24,10,0.119,24.1,0.65,1
APL300058,36,Salaried,19461.03,2398.06,766,95.7,0,1,3,46,9,0.355,12.3,0.6173,1
APL300059,27,Salaried,81869.25,14137.57,784,68.9,0,2,6,97,0,0.437,17.3,0.4843,0
APL300060,27,Salaried,12723.74,7558.32,680,95.1,0,1,3,80,0,0.139,59.4,0.65,1
APL300061,42,Student/Intern,25681.31,0.0,799,97.6,0,1,6,79,9,0.524,0.0,0.5076,0
APL300062,35,Student/Intern,53651.74,0.0,569,101.7,0,2,4,75,12,0.0,0.0,0.65,1
APL300063,24,Self-Employed,12000.0,949.03,675,86.4,0,2,4,49,2,0.306,7.9,0.65,1
APL300064,36,Salaried,31414.64,2932.5,736,89.0,0,2,2,77,17,0.439,9.3,0.6343,1
APL300065,28,Salaried,37151.37,10029.45,679,91.7,0,2,5,98,4,0.277,27.0,0.65,1
APL300066,36,Salaried,14380.03,4231.27,803,79.9,0,0,4,58,6,0.331,29.4,0.5064,0
APL300067,32,Salaried,39461.39,6254.71,717,104.8,0,1,5,67,17,0.294,15.9,0.65,1
APL300068,41,Salaried,34164.27,9217.56,807,65.2,0,0,6,84,24,0.54,27.0,0.4164,0
APL300069,37,Salaried,35642.01,9302.04,711,86.8,0,6,8,59,26,0.198,26.1,0.65,1
APL300070,32,Salaried,40293.33,13507.68,500,91.0,0,4,4,47,26,0.014,33.5,0.65,1
APL300071,39,Self-Employed,152522.78,0.0,811,62.3,1,1,4,84,28,0.636,0.0,0.3843,0
APL300072,40,Gig/Freelance,63119.04,0.0,722,97.0,0,1,4,97,20,0.141,0.0,0.6088,1
APL300073,42,Self-Employed,38883.33,12598.61,723,82.1,0,0,6,78,28,0.22,32.4,0.6363,1
APL300074,28,Salaried,88659.62,0.0,667,75.9,0,2,5,36,0,0.308,0.0,0.65,0
APL300075,33,Salaried,15692.48,5372.43,684,66.7,0,1,1,59,17,0.224,34.2,0.65,0
APL300076,38,Student/Intern,35675.73,4827.68,713,63.1,0,4,4,46,12,0.257,13.5,0.65,1
APL300077,30,Salaried,13791.51,52.35,729,54.4,0,2,6,89,32,0.281,0.4,0.5505,0
APL300078,44,Self-Employed,32349.91,0.0,631,99.8,0,1,4,61,31,0.137,0.0,0.65,0
APL300079,25,Salaried,58860.61,11083.41,764,94.3,0,3,9,35,6,0.113,18.8,0.65,1
APL300080,33,Salaried,58574.94,0.0,788,94.7,0,0,4,81,9,0.468,0.0,0.4692,0
APL300081,42,Salaried,35662.63,8968.33,749,85.3,0,1,4,81,13,0.251,25.1,0.616,0
APL300082,30,Self-Employed,12000.0,4014.27,782,76.6,0,1,6,99,21,0.579,33.5,0.4989,1
APL300083,45,Student/Intern,47732.01,1772.2,703,82.9,0,3,5,26,3,0.255,3.7,0.65,1
APL300084,23,Self-Employed,12000.0,4376.9,661,73.4,0,3,7,35,20,0.109,36.5,0.65,1
APL300085,27,Self-Employed,32426.44,0.0,763,67.6,0,2,3,47,19,0.444,0.0,0.5291,1
APL300086,32,Gig/Freelance,25825.72,10004.29,719,75.0,0,2,3,62,15,0.211,38.7,0.65,1
APL300087,28,Gig/Freelance,21228.93,6478.62,754,71.7,0,1,1,35,2,0.39,30.5,0.6148,0
APL300088,32,Gig/Freelance,29947.89,0.0,646,82.4,0,2,4,36,21,0.13,0.0,0.65,0
APL300089,35,Student/Intern,53651.74,0.0,569,101.7,0,2,4,75,12,0.0,0.0,0.65,1
APL300090,31,Self-Employed,146007.05,28074.51,800,82.2,0,1,3,115,22,0.454,19.2,0.445,1
APL300091,33,Salaried,12000.0,9392.56,688,87.1,0,2,3,63,30,0.261,78.3,0.65,1
APL300092,35,Salaried,12000.0,2367.86,709,68.2,0,1,7,34,21,0.424,19.7,0.6379,0
APL300093,35,Salaried,12000.0,6273.6,744,102.1,0,0,6,53,16,0.249,52.3,0.65,0
APL300094,36,Salaried,41431.26,8714.9,624,97.9,0,0,2,65,40,0.142,21.0,0.65,1
APL300095,29,Salaried,34887.63,7626.21,844,71.9,0,1,8,68,14,0.738,21.9,0.3793,1
APL300096,40,Salaried,52087.12,0.0,770,53.9,0,1,3,69,34,0.544,0.0,0.4118,0
APL300097,26,Salaried,55162.7,15436.25,729,89.4,0,1,4,52,15,0.38,28.0,0.65,1
APL300098,34,Self-Employed,15789.13,0.0,756,70.8,0,1,4,96,27,0.376,0.0,0.5223,1
APL300099,29,Self-Employed,12000.0,0.0,687,68.3,0,1,3,56,5,0.321,0.0,0.65,1
APL300100,21,Student/Intern,23567.16,0.0,687,74.3,0,3,6,79,8,0.249,0.0,0.65,0
APL300101,42,Salaried,27777.11,559.5,900,82.5,0,0,7,100,39,0.611,2.0,0.2583,0
APL300102,33,Salaried,12000.0,0.0,697,75.6,0,1,2,77,17,0.074,0.0,0.65,0
APL300103,44,Gig/Freelance,26659.83,0.0,757,104.1,0,1,6,88,19,0.39,0.0,0.5931,1
APL300104,27,Salaried,14555.85,410.0,711,55.6,0,3,5,65,18,0.289,2.8,0.6229,0
APL300105,35,Salaried,45806.35,11138.16,775,59.3,0,1,6,70,25,0.398,24.3,0.4863,0
APL300106,30,Salaried,32860.55,0.0,706,76.6,0,2,2,42,26,0.388,0.0,0.65,0
APL300107,33,Self-Employed,48951.21,16527.98,658,78.5,0,3,6,114,0,0.0,33.8,0.65,0
APL300108,33,Salaried,12000.0,0.0,697,75.6,0,1,2,77,17,0.074,0.0,0.65,0
APL300109,37,Self-Employed,38282.33,7023.32,653,78.6,0,2,0,85,15,0.197,18.3,0.65,0
APL300110,32,Student/Intern,26709.52,0.0,592,87.9,0,1,3,57,3,0.0,0.0,0.65,0
APL300111,30,Salaried,28206.81,3472.0,701,93.2,0,1,5,106,16,0.345,12.3,0.65,1
APL300112,31,Salaried,17471.96,0.0,747,94.6,0,0,6,90,27,0.229,0.0,0.5861,1
APL300113,31,Self-Employed,146007.05,28074.51,800,82.2,0,1,3,115,22,0.454,19.2,0.445,1
APL300114,30,Salaried,27188.38,0.0,816,61.0,0,4,4,113,15,0.604,0.0,0.4153,0
APL300115,21,Self-Employed,23235.28,0.0,848,88.5,0,0,5,96,7,0.549,0.0,0.3783,0
APL300116,37,Self-Employed,33115.71,6690.2,630,86.9,0,2,6,45,21,0.0,20.2,0.65,1
APL300117,35,Salaried,12000.0,0.0,708,86.1,0,1,6,135,25,0.338,0.0,0.6264,0
APL300118,30,Salaried,16856.88,12889.24,818,61.7,0,1,8,85,29,0.794,76.5,0.4225,0
APL300119,24,Salaried,40634.11,10440.73,777,51.8,0,1,7,77,27,0.519,25.7,0.4531,1
APL300120,23,Salaried,40211.7,242.2,715,67.2,0,3,7,83,4,0.211,0.6,0.6195,1
APL300121,40,Salaried,12202.55,10342.39,512,110.2,0,2,8,63,33,0.0,84.8,0.65,1
APL300122,28,Salaried,28705.78,0.0,671,90.4,0,3,6,47,4,0.169,0.0,0.65,1
APL300123,32,Salaried,70662.13,12121.38,772,83.2,0,4,5,77,32,0.646,17.2,0.5502,0
APL300124,43,Self-Employed,52135.27,12092.97,716,94.6,0,2,6,82,39,0.449,23.2,0.65,0
APL300125,26,Salaried,16252.09,0.0,597,85.6,0,1,8,49,22,0.094,0.0,0.65,1
APL300126,47,Self-Employed,25965.9,8323.95,601,99.7,0,2,2,51,35,0.219,32.1,0.65,0
APL300127,35,Gig/Freelance,23391.54,1597.75,666,62.8,0,1,4,52,12,0.237,6.8,0.65,0
APL300128,39,Self-Employed,15193.61,733.49,786,71.2,0,3,7,68,29,0.454,4.8,0.5119,1
APL300129,39,Salaried,33273.43,7327.53,729,80.4,0,1,5,68,23,0.117,22.0,0.6362,0
APL300130,31,Self-Employed,42609.81,613.84,681,97.9,0,2,6,13,0,0.315,1.4,0.65,1
APL300131,22,Gig/Freelance,19619.37,4064.26,656,84.2,0,3,4,42,3,0.171,20.7,0.65,1
APL300132,35,Salaried,45806.35,11138.16,775,59.3,0,1,6,70,25,0.398,24.3,0.4863,0
APL300133,41,Salaried,43337.54,0.0,684,70.6,0,2,6,75,38,0.174,0.0,0.6395,0
APL300134,40,Self-Employed,31675.49,5600.73,661,85.3,0,4,6,76,24,0.111,17.7,0.65,0
APL300135,31,Salaried,29485.62,0.0,753,85.8,0,2,4,115,7,0.314,0.0,0.575,1
APL300136,39,Salaried,37049.2,11969.9,700,69.8,0,2,8,88,37,0.496,32.3,0.6467,1
APL300137,29,Salaried,34887.63,7626.21,844,71.9,0,1,8,68,14,0.738,21.9,0.3793,1
APL300138,26,Salaried,22590.35,0.0,676,90.0,0,1,5,68,0,0.142,0.0,0.65,1
APL300139,30,Salaried,17280.83,2396.01,600,92.5,0,3,3,39,31,0.074,13.9,0.65,1
APL300140,31,Salaried,30701.68,0.0,711,92.9,0,2,4,35,14,0.123,0.0,0.65,1
APL300141,50,Salaried,24592.32,4250.64,737,78.3,0,1,5,83,41,0.471,17.3,0.568,0
APL300142,30,Salaried,28306.63,8607.4,716,87.5,0,3,6,33,3,0.138,30.4,0.65,1
APL300143,49,Salaried,37609.84,5407.01,599,113.0,0,1,3,72,48,0.049,14.4,0.65,0
APL300144,21,Gig/Freelance,65887.14,0.0,606,91.5,0,1,4,48,10,0.0,0.0,0.65,1
APL300145,41,Gig/Freelance,81768.89,9844.24,697,78.1,0,0,5,75,18,0.28,12.0,0.6106,0
APL300146,40,Salaried,17842.82,0.0,566,99.6,0,3,0,61,27,0.0,0.0,0.65,0
APL300147,39,Salaried,17035.73,0.0,683,83.3,1,2,3,88,33,0.008,0.0,0.65,1
APL300148,34,Self-Employed,28400.2,0.0,665,105.3,1,2,8,63,14,0.211,0.0,0.65,0
APL300149,30,Salaried,13791.51,52.35,729,54.4,0,2,6,89,32,0.281,0.4,0.5505,0
APL300150,30,Salaried,18115.19,923.92,705,71.0,0,3,2,67,9,0.136,5.1,0.65,1
APL300151,28,Self-Employed,22025.69,0.0,763,93.8,0,3,5,47,0,0.184,0.0,0.6447,0
APL300152,21,Self-Employed,23235.28,0.0,848,88.5,0,0,5,96,7,0.549,0.0,0.3783,0
APL300153,36,Salaried,12000.0,4862.46,725,38.7,0,1,3,58,5,0.33,40.5,0.5689,1
APL300154,46,Salaried,14639.26,0.0,757,64.2,0,3,6,89,47,0.452,0.0,0.5183,0
APL300155,35,Salaried,12000.0,0.0,708,86.1,0,1,6,135,25,0.338,0.0,0.6264,0
APL300156,44,Self-Employed,32349.91,0.0,631,99.8,0,1,4,61,31,0.137,0.0,0.65,0
APL300157,42,Salaried,19325.33,3290.59,636,67.6,0,1,3,38,30,0.179,17.0,0.65,1
APL300158,28,Salaried,52256.29,12960.11,764,73.4,0,3,5,26,0,0.187,24.8,0.6304,0
APL300159,33,Self-Employed,20421.84,3267.94,720,98.2,0,0,5,95,7,0.347,16.0,0.65,1
APL300160,32,Salaried,15723.17,0.0,532,106.4,0,3,5,36,14,0.0,0.0,0.65,0
APL300161,37,Salaried,27003.63,5139.13,790,78.6,0,2,6,112,17,0.303,19.0,0.5115,0
APL300162,32,Gig/Freelance,29947.89,0.0,646,82.4,0,2,4,36,21,0.13,0.0,0.65,0
APL300163,31,Gig/Freelance,29416.73,7437.96,651,70.4,0,4,5,73,15,0.0,25.3,0.65,1
APL300164,41,Self-Employed,37175.24,2341.59,599,97.2,0,5,6,38,19,0.0,6.3,0.65,1
APL300165,40,Salaried,25715.78,0.0,669,93.0,0,1,1,69,22,0.112,0.0,0.65,1
APL300166,36,Self-Employed,16468.87,0.0,706,71.1,0,1,4,68,33,0.256,0.0,0.6255,1
APL300167,38,Salaried,27216.21,8587.9,630,102.1,0,0,7,63,37,0.044,31.6,0.65,1
APL300168,21,Salaried,57793.85,8833.23,736,94.1,0,0,4,54,4,0.237,15.3,0.635,0
APL300169,25,Gig/Freelance,25094.2,4168.84,820,64.1,0,2,4,101,15,0.438,16.6,0.4228,1
APL300170,37,Salaried,12000.0,0.0,720,91.4,0,3,4,33,11,0.402,0.0,0.65,1
APL300171,42,Salaried,56144.26,4455.49,691,83.3,0,2,5,47,24,0.479,7.9,0.65,0
APL300172,35,Salaried,41532.15,1420.72,714,75.1,0,2,5,90,15,0.364,3.4,0.6053,1
APL300173,35,Salaried,22618.62,7135.12,667,94.9,0,1,7,75,17,0.326,31.5,0.65,1
APL300174,40,Salaried,15095.44,0.0,634,70.1,0,1,9,44,24,0.21,0.0,0.65,0
APL300175,29,Salaried,48329.94,9296.8,611,105.1,0,2,2,53,4,0.181,19.2,0.65,1
APL300176,30,Salaried,21220.07,3073.35,635,105.0,0,5,6,80,41,0.256,14.5,0.65,0
APL300177,24,Gig/Freelance,26782.43,0.0,619,49.6,0,3,6,21,0,0.101,0.0,0.65,1
APL300178,36,Salaried,50989.52,0.0,678,76.8,0,1,7,25,25,0.09,0.0,0.65,0
APL300179,21,Self-Employed,12000.0,2071.09,676,97.4,0,2,7,65,3,0.126,17.3,0.65,1
APL300180,29,Self-Employed,19162.39,0.0,620,60.0,0,1,4,29,25,0.246,0.0,0.65,1
APL300181,25,Self-Employed,23200.14,0.0,601,91.1,0,2,5,33,0,0.11,0.0,0.65,0
APL300182,30,Salaried,39362.19,0.0,722,70.6,0,1,5,45,14,0.331,0.0,0.5846,1
APL300183,48,Salaried,15434.15,0.0,731,71.7,0,4,4,67,66,0.272,0.0,0.6124,1
APL300184,27,Salaried,81869.25,14137.57,784,68.9,0,2,6,97,0,0.437,17.3,0.4843,0
APL300185,36,Salaried,51885.89,11479.86,808,83.7,0,0,5,50,23,0.522,22.1,0.4684,0
APL300186,35,Salaried,17309.47,0.0,602,68.8,0,1,7,69,26,0.008,0.0,0.65,1
APL300187,32,Salaried,12029.28,0.0,695,86.5,0,0,6,44,15,0.204,0.0,0.65,1
APL300188,33,Salaried,48477.97,11192.16,770,78.3,0,0,7,8,32,0.314,23.1,0.5539,1
APL300189,35,Salaried,17309.47,0.0,602,68.8,0,1,7,69,26,0.008,0.0,0.65,1
APL300190,39,Self-Employed,59617.99,0.0,564,78.6,0,1,2,61,38,0.076,0.0,0.65,0
APL300191,28,Self-Employed,22025.69,0.0,763,93.8,0,3,5,47,0,0.184,0.0,0.6447,0
APL300192,27,Salaried,15412.14,0.0,729,80.7,0,3,2,60,13,0.398,0.0,0.65,1
APL300193,25,Self-Employed,23200.14,0.0,601,91.1,0,2,5,33,0,0.11,0.0,0.65,0
APL300194,46,Salaried,27745.39,0.0,732,97.9,0,6,7,61,40,0.243,0.0,0.65,0
APL300195,24,Salaried,52219.46,7733.81,618,133.4,0,0,6,34,16,0.0,14.8,0.65,0
APL300196,22,Salaried,48754.23,13383.78,662,86.7,0,0,7,30,8,0.16,27.5,0.65,1
APL300197,39,Self-Employed,24176.3,4810.86,623,87.6,0,1,7,63,37,0.177,19.9,0.65,0
APL300198,25,Salaried,22666.33,0.0,774,56.3,0,0,3,26,6,0.447,0.0,0.4789,0
APL300199,28,Self-Employed,36434.63,0.0,689,77.7,0,0,2,74,0,0.262,0.0,0.65,1
APL300200,21,Salaried,14464.06,5139.53,754,66.6,0,1,6,61,5,0.187,35.5,0.585,1
APL300201,30,Self-Employed,45370.34,0.0,711,65.8,0,0,4,52,6,0.354,0.0,0.573,0
APL300202,28,Self-Employed,28028.64,1925.17,614,86.6,0,2,7,76,19,0.033,6.9,0.65,0
APL300203,40,Salaried,13668.51,0.0,677,79.6,0,2,7,47,38,0.373,0.0,0.65,0
APL300204,45,Salaried,61629.17,11829.11,687,83.2,0,2,5,53,30,0.161,19.2,0.65,0
APL300205,28,Self-Employed,22025.69,0.0,763,93.8,0,3,5,47,0,0.184,0.0,0.6447,0
APL300206,30,Student/Intern,19314.04,6730.11,668,112.9,0,3,7,95,7,0.066,34.8,0.65,1
APL300207,42,Salaried,44270.52,7510.98,793,78.3,0,0,2,75,33,0.422,17.0,0.4733,1
APL300208,36,Salaried,34239.72,9134.2,760,105.4,0,1,5,75,1,0.387,26.7,0.6444,1
APL300209,33,Salaried,31303.93,8361.32,719,56.6,0,1,1,79,0,0.282,26.7,0.6222,0
APL300210,35,Salaried,84090.29,17548.99,798,79.5,0,0,3,72,19,0.507,20.9,0.4686,1
APL300211,34,Salaried,26387.59,0.0,701,103.3,0,0,3,23,0,0.246,0.0,0.65,0
APL300212,31,Self-Employed,35526.99,4031.96,647,85.7,0,4,3,50,29,0.214,11.3,0.65,0
APL300213,40,Salaried,14134.52,3146.7,800,79.0,0,2,5,70,23,0.354,22.3,0.5138,0
APL300214,28,Salaried,26139.27,535.54,858,83.4,0,1,7,100,22,0.592,2.0,0.3503,0
APL300215,21,Gig/Freelance,65887.14,0.0,606,91.5,0,1,4,48,10,0.0,0.0,0.65,1
APL300216,33,Salaried,24705.12,0.0,741,67.0,0,2,3,90,17,0.304,0.0,0.5659,1
APL300217,35,Salaried,29230.2,0.0,738,59.8,0,1,4,82,25,0.322,0.0,0.522,0
APL300218,29,Salaried,21141.91,7514.73,616,110.0,0,2,3,55,27,0.113,35.5,0.65,0
APL300219,30,Salaried,33993.76,7399.5,567,81.7,0,1,5,26,15,0.0,21.8,0.65,1
APL300220,33,Salaried,28106.57,721.66,848,86.0,0,0,7,66,12,0.585,2.6,0.3781,0
APL300221,27,Student/Intern,29341.2,3665.61,736,78.8,0,2,3,77,1,0.408,12.5,0.6251,0
APL300222,31,Self-Employed,85744.31,17543.98,673,100.2,0,0,4,63,16,0.147,20.5,0.65,0
APL300223,23,Salaried,32887.99,0.0,715,77.6,0,1,6,118,24,0.06,0.0,0.5983,1
APL300224,38,Self-Employed,13321.42,6646.02,814,94.1,0,2,3,104,22,0.388,49.9,0.5367,1
APL300225,36,Self-Employed,16468.87,0.0,706,71.1,0,1,4,68,33,0.256,0.0,0.6255,1
APL300226,33,Student/Intern,32874.14,10403.85,629,80.9,0,2,4,51,10,0.195,31.6,0.65,0
APL300227,30,Salaried,13791.51,52.35,729,54.4,0,2,6,89,32,0.281,0.4,0.5505,0
APL300228,38,Salaried,29081.53,7083.87,724,63.6,0,1,6,79,43,0.345,24.4,0.5724,1
APL300229,40,Self-Employed,31675.49,5600.73,661,85.3,0,4,6,76,24,0.111,17.7,0.65,0
APL300230,21,Gig/Freelance,27154.66,5690.65,645,98.1,0,0,2,59,8,0.409,21.0,0.65,1
APL300231,36,Salaried,27795.43,15814.07,696,76.7,0,2,6,51,2,0.238,56.9,0.65,0
APL300232,33,Salaried,53042.89,9724.3,553,71.6,0,3,2,25,37,0.0,18.3,0.65,1
APL300233,45,Salaried,33639.29,9288.04,724,67.8,0,1,8,85,37,0.272,27.6,0.5946,1
APL300234,34,Salaried,33684.73,6360.75,603,138.4,0,4,3,87,47,0.163,18.9,0.65,1
APL300235,40,Salaried,14134.52,3146.7,800,79.0,0,2,5,70,23,0.354,22.3,0.5138,0
APL300236,38,Gig/Freelance,30327.93,8437.97,462,103.4,0,3,3,22,10,0.0,27.8,0.65,1
APL300237,33,Salaried,31303.93,8361.32,719,56.6,0,1,1,79,0,0.282,26.7,0.6222,0
APL300238,35,Salaried,49613.18,4184.66,688,77.4,0,1,2,71,8,0.055,8.4,0.65,1
APL300239,35,Salaried,31724.81,0.0,749,68.2,0,3,7,83,12,0.525,0.0,0.5446,0
APL300240,30,Salaried,34976.37,7796.74,797,43.9,0,0,6,51,21,0.636,22.3,0.3854,0
APL300241,33,Salaried,53665.86,0.0,620,92.4,0,3,6,16,23,0.26,0.0,0.65,1
APL300242,31,Salaried,93915.02,15727.45,748,97.7,0,1,8,46,18,0.139,16.7,0.6263,0
APL300243,38,Student/Intern,34911.68,0.0,787,94.9,0,2,6,80,9,0.73,0.0,0.5119,0
APL300244,30,Self-Employed,35041.05,11799.37,672,95.0,0,3,3,28,15,0.107,33.7,0.65,1
APL300245,36,Gig/Freelance,51184.29,0.0,652,87.3,0,3,3,96,20,0.204,0.0,0.65,0
APL300246,33,Self-Employed,48951.21,16527.98,658,78.5,0,3,6,114,0,0.0,33.8,0.65,0
APL300247,44,Self-Employed,40268.48,14113.3,751,122.4,0,2,2,73,11,0.393,35.0,0.65,1
APL300248,35,Salaried,53576.19,13845.21,753,102.0,0,1,2,44,16,0.264,25.8,0.65,0
APL300249,36,Gig/Freelance,58092.4,10160.31,614,88.9,0,0,5,44,4,0.259,17.5,0.65,1
APL300250,32,Salaried,15392.2,1995.85,610,95.3,0,3,5,23,25,0.264,13.0,0.65,1
APL300251,29,Salaried,39405.93,3425.59,645,77.2,0,2,4,57,10,0.407,8.7,0.65,0
APL300252,47,Self-Employed,65583.88,17117.64,627,92.8,0,0,1,52,48,0.256,26.1,0.65,1
APL300253,29,Salaried,43429.84,10163.4,677,102.0,0,2,4,84,17,0.0,23.4,0.65,0
APL300254,28,Salaried,74413.4,11958.28,702,85.4,0,0,6,85,2,0.199,16.1,0.65,1
APL300255,21,Self-Employed,12000.0,2071.09,676,97.4,0,2,7,65,3,0.126,17.3,0.65,1
APL300256,36,Student/Intern,29863.02,3004.51,692,110.7,1,0,5,54,10,0.27,10.1,0.65,0
APL300257,34,Self-Employed,36134.41,0.0,762,87.1,0,0,3,92,18,0.761,0.0,0.4945,0
APL300258,34,Self-Employed,30516.33,0.0,612,67.2,0,3,2,67,7,0.0,0.0,0.65,1
APL300259,28,Student/Intern,25510.01,0.0,745,78.0,0,2,5,56,8,0.318,0.0,0.5973,1
